,adm,country,link
0,99,Oman,http://data.humdata.org/dataset/da87f54e-64bd-4cf4-bd31-3fc520f94609/resource/1913cbe4-55af-489b-8417-827112190e95/download/OMN_PLACES_ESRI.zip
0,99,Qatar,http://data.humdata.org/dataset/6a84f3b8-41cd-4769-a61f-6dbd5f61bd05/resource/a3ce583a-422c-46cf-bd09-55cd87d62136/download/QAT_adm0.zip
0,99,Qatar,http://data.humdata.org/dataset/6a84f3b8-41cd-4769-a61f-6dbd5f61bd05/resource/c11a9ba7-3e69-4f3f-bb02-70c094698039/download/QAT_adm1.zip
0,99,Qatar,http://data.humdata.org/dataset/6a84f3b8-41cd-4769-a61f-6dbd5f61bd05/resource/b61627ef-339c-42d3-9608-009610761e53/download/wrl_capp_15m_esri.zip
0,99,Qatar,http://data.humdata.org/dataset/6a84f3b8-41cd-4769-a61f-6dbd5f61bd05/resource/630e67b7-aea5-4d94-8fd3-b1c0292147a1/download/QAT_PLACES_ESRI.zip
0,99,Saudi Arabia,http://data.humdata.org/dataset/41ce9023-1d21-4549-a485-94316200aba0/resource/b0231b6c-1e16-495d-8538-b5f6c1fb5203/download/SAU_adm0.zip
0,99,Saudi Arabia,http://data.humdata.org/dataset/41ce9023-1d21-4549-a485-94316200aba0/resource/a0188b1b-2f40-4f27-8a43-25913a7378ca/download/SAU_adm1.zip
0,99,Saudi Arabia,http://data.humdata.org/dataset/41ce9023-1d21-4549-a485-94316200aba0/resource/99834c81-ad34-415e-91c5-af053d8e55b4/download/sau_capp_adm1_1m_ocha.zip
0,99,Saudi Arabia,http://data.humdata.org/dataset/41ce9023-1d21-4549-a485-94316200aba0/resource/6f333a48-5114-462c-99c3-d1fd62c35ddb/download/SAU_Places.zip
0,99,United Arab Emirates,http://data.humdata.org/dataset/23d41c1f-41ef-4957-a47e-b8c08c984d83/resource/580a2fe8-b6f3-42fa-bae4-75201950128b/download/Admin0.zip
0,99,United Arab Emirates,http://data.humdata.org/dataset/23d41c1f-41ef-4957-a47e-b8c08c984d83/resource/54f2c9ed-68d3-4cbb-a830-a15282b1bca9/download/Admin1.rar
0,99,United Arab Emirates,http://data.humdata.org/dataset/23d41c1f-41ef-4957-a47e-b8c08c984d83/resource/2d250c54-cd17-4889-b832-a1de6fc9b396/download/pplp_1m_ERSI.zip
0,99,United Arab Emirates,http://data.humdata.org/dataset/23d41c1f-41ef-4957-a47e-b8c08c984d83/resource/4e42593a-ef61-472e-91cb-3a1084a14e51/download/UAE_PLACES_ESRI.zip
0,99,Kenya,http://data.humdata.org/dataset/2c0b7571-4bef-4347-9b81-b2174c13f9ef/resource/5e6bb3bd-6ff8-4127-82b7-5a846bd4b802/download/Kenya_admin1_county.zip
0,99,Mali,http://data.humdata.org/dataset/3feaf6d7-8b21-4db1-a097-fa8a2b680a89/resource/1f4755a2-b3d7-4634-9273-430048d40684/download/mli_admbnda_adm1_pop_2017.zip
0,99,Mali,http://data.humdata.org/dataset/3feaf6d7-8b21-4db1-a097-fa8a2b680a89/resource/bc251c53-9c78-48b2-ab8f-c92d9269faf2/download/mli_admbnda_adm2_pop_2017.zip
0,99,Mali,http://data.humdata.org/dataset/3feaf6d7-8b21-4db1-a097-fa8a2b680a89/resource/303f57d8-965f-4c70-a081-3e5e0fcba2bf/download/mli_admbnda_adm3_pop_2017.zip
0,99,Niger,http://data.humdata.org/dataset/c0e0998c-b45a-4aea-ac06-c1de1d94e596/resource/fc164d0b-0df4-45ca-a709-a540e68e62ee/download/NER_admbnda_adm0_ignn_ocha.zip
0,99,Niger,http://data.humdata.org/dataset/c0e0998c-b45a-4aea-ac06-c1de1d94e596/resource/94e06212-3f8f-4c74-a433-1b132d059ea8/download/NER_admbnda_adm1_ignn_ocha_itos.zip
0,99,Niger,http://data.humdata.org/dataset/c0e0998c-b45a-4aea-ac06-c1de1d94e596/resource/4b2bfec2-2f26-4354-bfe0-801f161c23fb/download/NER_admbnda_adm2_ignn_ocha_itos.zip
0,99,Kenya,http://data.humdata.org/dataset/db0ba5f4-cd9a-4512-b9ca-3c79f59fed08/resource/2fe6fcaa-58af-4d5d-a17d-81c73574ae2a/download/Kenya_Wards.zip
0,99,Chad,http://data.humdata.org/dataset/7a3532f7-c6f0-4106-86b9-650b5cfc4774/resource/8d3ab078-b47b-489c-9c82-723795dd88d3/download/tcd_admbnd_adm1_2008_ocha.zip
0,99,Chad,http://data.humdata.org/dataset/7a3532f7-c6f0-4106-86b9-650b5cfc4774/resource/cf9d8f25-cc46-4f52-9985-6ea08711760e/download/tcd_admbnd_adm2_2008_ocha.zip
0,99,Chad,http://data.humdata.org/dataset/7a3532f7-c6f0-4106-86b9-650b5cfc4774/resource/ec137080-7bf2-4757-b68a-771c3ce6008d/download/tcd_admbnd_adm4_2008_ocha.zip
0,99,Philippines,http://data.humdata.org/dataset/caf116df-f984-4deb-85ca-41b349d3f313/resource/315b64be-e4c9-401d-80c2-81a0e4cfb917/download/PHL_adm1_PSA_pn_2016June.zip
0,99,Philippines,http://data.humdata.org/dataset/caf116df-f984-4deb-85ca-41b349d3f313/resource/b2890403-1ad8-4f14-8762-9ef34f251609/download/PHL_adm2_PSA_pn_2016June.zip
0,99,Philippines,http://data.humdata.org/dataset/caf116df-f984-4deb-85ca-41b349d3f313/resource/ebc4092d-d56d-42d1-95ee-4fc6fad4e5e4/download/PHL_adm3_PSA_pn_2016June.zip
0,99,Gambia,http://data.humdata.org/dataset/9f2ce756-2e50-4042-a952-32160977d223/resource/9718f978-d443-45b2-8e5f-b10e89ef038e/download/gmb_admbnda_admint_1m_ocha.zip
0,99,Gambia,http://data.humdata.org/dataset/9f2ce756-2e50-4042-a952-32160977d223/resource/a77b714e-4b48-4e05-8e0c-e39822454764/download/GMB_admbnda_adm1_lga_1m_ocha.zip
0,99,Gambia,http://data.humdata.org/dataset/9f2ce756-2e50-4042-a952-32160977d223/resource/975ac9ed-f966-46d0-a598-f9db36e858e9/download/gmb_admbnda_adm2_district_1m_ocha.zip
0,99,Gambia,http://data.humdata.org/dataset/9f2ce756-2e50-4042-a952-32160977d223/resource/9e23af57-0aa1-443c-80ac-ec97100dd00f/download/gmb_admbndl_admall_district_1m_ocha.zip
0,99,Myanmar,http://data.humdata.org/dataset/b3d665ad-a017-4deb-94b1-f6e0bfcbf3d5/resource/2454d9d6-ff37-43b3-ac1b-f04fc13bfefc/download/mmr_adm0_country_mimu.zip
0,99,Myanmar,http://data.humdata.org/dataset/b3d665ad-a017-4deb-94b1-f6e0bfcbf3d5/resource/b80c7542-8da6-4643-9d4d-10c598ee96a2/download/mmr_adm1_states_regions1_mimu.zip
0,99,Myanmar,http://data.humdata.org/dataset/b3d665ad-a017-4deb-94b1-f6e0bfcbf3d5/resource/dd16d141-a2b1-47c5-a2b3-591caa5cf45e/download/mmr_adm1_states_regions2_mimu.zip
