country;country_code;admin_level;local_name;pcode_col;name_col;pcode_parent_col;name_parent_col;population_col;link;filter
Ecuador;ECU;1;;;;;;;http://data.humdata.org/dataset/94ca0461-d2a8-4f1f-a99e-47b665462726/resource/3cdaaf9a-342c-4546-a7a3-9246a942db16/download/administrative_boundaries_1-ec.zip;0
Ecuador;ECU;3;;;;;;;http://data.humdata.org/dataset/4adaa4ad-e23d-418e-a659-b1d751f2e52c/resource/b6bb3071-87ae-4b8b-a892-80b2d350f10d/download/administrative_boundaries_3-ec.zip;0
Ecuador;ECU;2;;;;;;;http://data.humdata.org/dataset/ab3c7592-3b0c-41cd-999a-2919a6b243f2/resource/b383afb5-7391-4f91-9986-e42d9897ece1/download/administrative_boundaries_2-ec.zip;0
Equatorial Guinea;GNQ;1;;;;;;;http://data.humdata.org/dataset/0c1a3093-c97d-48a2-a992-e652ebcbf05c/resource/11f4484b-1662-4c8c-83d8-71383a619558/download/gnqadm1gaul.zip;0
Eritrea;ERI;2;;;;;;;http://data.humdata.org/dataset/99960eda-9c9d-47d6-b1dc-4de73439d283/resource/a643724d-5e99-4a44-8423-2ec4d5a91501/download/eriadmin2.zip;0
Eritrea;ERI;1;;;;;;;http://data.humdata.org/dataset/2025e742-8b5a-4f72-aac5-a28e96ce3cb8/resource/45277d47-3a55-4939-8b5a-12713b25a743/download/eriadmin1.zip;0
Gabon;GAB;1;;adm1_code;adm1_name;cntry_code;cntry_name;;http://data.humdata.org/dataset/d8d992f3-5374-448f-a3d5-bed7c1925a11/resource/2c7a6d25-4473-458f-87b9-1df0367564ab/download/gabadmbndp11msalb.zip;0
Gabon;GAB;2;;adm2_code;adm2_name;adm1_code;adm1_name;;http://data.humdata.org/dataset/d8d992f3-5374-448f-a3d5-bed7c1925a11/resource/46463ad7-36e0-401d-9608-ef4d360c32fe/download/gabadmbndp21msalb.shp.zip;0
Gambia;GMB;1;;lga_code;lga_name;cntry_code;cntry_name;;http://data.humdata.org/dataset/9f2ce756-2e50-4042-a952-32160977d223/resource/a77b714e-4b48-4e05-8e0c-e39822454764/download/GMB_admbnda_adm1_lga_1m_ocha.zip;0
Gambia;GMB;2;;district_c;district_n;lga_code;lga_name;;http://data.humdata.org/dataset/9f2ce756-2e50-4042-a952-32160977d223/resource/975ac9ed-f966-46d0-a598-f9db36e858e9/download/gmb_admbnda_adm2_district_1m_ocha.zip;0
Ghana;GHA;1;;;;;;;http://data.humdata.org/dataset/dc4c17cf-59d9-478c-b2b7-acd889241194/resource/f5b5a810-02e2-4272-8e9c-5bd0a40f96f1/download/GHA_admbndp1_1m_GAUL.zip;0
Ghana;GHA;2;;;;;;;http://data.humdata.org/dataset/dc4c17cf-59d9-478c-b2b7-acd889241194/resource/978379d0-29a5-4beb-9494-11b63e3b16ac/download/GHA_admbndp2_1m_GAUL.zip;0
Guinea;GIN;3;;;;;;;http://data.humdata.org/dataset/33b573c5-42c5-43ef-b908-c84af369ca88/resource/862da72f-6630-4a34-af3b-e7cfe2a20df1/download/guinea_admin3.zip;0
Guinea-Bissau;GNB;1;;;;;;;http://data.humdata.org/dataset/3db6297f-55d7-4e79-8969-281b1838ef79/resource/e5e1b90c-dafe-46c5-92c1-4c1a8001200a/download/GNB_adm1_salb.zip;0
Guinea-Bissau;GNB;2;;;;;;;http://data.humdata.org/dataset/3db6297f-55d7-4e79-8969-281b1838ef79/resource/3a029404-5524-478a-bf3b-78d152871f82/download/GNB_adm2_salb.zip;0
Haiti;HTI;1;;admin1pcod;admin1name;admin0cod;admin0name;;http://data.humdata.org/dataset/777e8b06-337f-4295-80bc-ca1515244215/resource/61113b50-02c1-4288-8d45-f3aad32a5fae/download/hti_admnbnda_adm1_CNIGS2013.zip;0
Haiti;HTI;2;;admin2pcod;admin2name;admin1pcod;admin1name;;http://data.humdata.org/dataset/777e8b06-337f-4295-80bc-ca1515244215/resource/d80f2b3e-71b5-4705-8ff4-21f28e839fac/download/hti_admnbnda_adm2_CNIGS2013.zip;0
Haiti;HTI;3;;admin3pcod;admin3name;admin2pcod;admin2name;;http://data.humdata.org/dataset/777e8b06-337f-4295-80bc-ca1515244215/resource/2b277d37-b4c7-4dea-923c-6e65d3cfa1e2/download/hti_admnbnda_adm3_CNIGS2013.zip;0
Honduras;HND;1;;admin1pcod;admin1name;admin0pcod;admin0name;;http://data.humdata.org/dataset/bd62fb53-64d3-478f-9ca8-38e4a2de19c0/resource/61cb7564-f409-4803-99c2-1327216c1482/download/hnd_admbnda_adm1_sinit_20161005.zip;0
Honduras;HND;2;;admin2pcod;admin2name;admin1pcod;admin1name;;http://data.humdata.org/dataset/bd62fb53-64d3-478f-9ca8-38e4a2de19c0/resource/3f584e05-99b7-44cd-9fbe-8ffd3774d7c1/download/hnd_admbnda_adm2_sinit_20161005.zip;0
